Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews
Business,Construction Cost Estimating and Cost Control,Columbia University,Course,Beginner,3 - 6 Months,"Construction Estimating, Cost Estimation, Construction Management, Bidding, Cost Control, Cash Flows, Project Closure, Lean Methodologies, Project Controls, Cash Flow Forecasting, Earned Value Management, Procurement, Commercial Construction, Purchasing, Request for Proposal, Project Design, Change Orders, Building Information Modeling, Systems Of Measurement",4.8,5300
Business,Driving Operational Performance,University of Pennsylvania,Course,Intermediate,1 - 4 Weeks,"Process Analysis, Operational Performance Management, Capacity Planning, Operational Analysis, Key Performance Indicators (KPIs), Operations Management, Operational Efficiency, Business Operations, Business Metrics, Process Improvement and Optimization, Process Management, Performance Analysis, Business Process Management, Return On Investment, Capacity Management, Customer Analysis, Customer Retention, Resource Utilization, Supply Chain, Resource Allocation",4.5,153
Business,Advanced Leadership Skills for the 21st Century,Kennesaw State University,Specialization,Intermediate,3 - 6 Months,"Leadership Development, Crisis Management, Strategic Leadership, Organizational Change, Leadership, Organizational Leadership, Leadership and Management, Team Leadership, Change Management, Diversity and Inclusion, Business Leadership, Visionary, Team Management, Team Building, Organizational Strategy, Coaching, Professional Development, Employee Performance Management, Mentorship, Overcoming Obstacles",4.5,787
Business,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,Course,Mixed,1 - 3 Months,"People Management, Entrepreneurship, Accounting, Financial Management, Team Building, Business Management, Team Management, Value Propositions, Marketing, Business, Customer Analysis, Sales Management, Innovation, Financial Statements, Recruitment Strategies",4.6,118
Business,Project Management Fundamentals,LearnKartS,Course,Beginner,1 - 4 Weeks,"Project Management Office (PMO), Project Management, Stakeholder Management, Project Management Life Cycle, Project Management Institute (PMI) Methodology, Operations Management, Program Management, Governance, Change Management, Portfolio Management, Organizational Structure",4.7,432
Business,The Business of Product Management I,Advancing Women in Tech,Course,Beginner,1 - 4 Weeks,"Product Management, Product Roadmaps, Product Strategy, Product Requirements, New Product Development, Product Lifecycle Management, Competitive Analysis, Customer Insights, Market Intelligence, Leadership, Innovation, Communication, Stakeholder Communications, Persona Development",4.6,250
Business,Bases de la planification et de la gestion de projet,University of Virginia,Course,Beginner,1 - 4 Weeks,"Project Planning, Earned Value Management, Project Management Life Cycle, Project Implementation, Risk Management, Project Coordination, Project Scoping, Project Management, Sprint Planning, Agile Methodology, Dependency Analysis, Stakeholder Management, Budgeting, Scheduling, Work Breakdown Structure, Kanban Principles",4.8,255
Business,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,Course,Intermediate,1 - 4 Weeks,"Crisis Management, Leadership, Strategic Communication, Resilience, Stakeholder Management, Business Continuity, Organizational Change, Dealing With Ambiguity, Communication Strategies, Business Risk Management, Adaptability, Value Propositions",4.8,77
Business,Leadership and Critical Thinking,Tecnológico de Monterrey,Specialization,Advanced,1 - 3 Months,"Critical Thinking, Organizational Leadership, Independent Thinking, Positivity, Self-Awareness, Stress Management, Leadership, Resilience, Influencing, Motivational Skills, Decision Making, Personal Development, Leadership Development, Industrial and Organizational Psychology, Strategic Thinking, Leadership and Management, Emotional Intelligence, Optimism, Systems Thinking, Strategic Decision-Making",4.6,259
Business,Auditing II: The Practice of Auditing,University of Illinois Urbana-Champaign,Course,Intermediate,1 - 3 Months,"Auditing, Internal Controls, Financial Auditing, External Auditing, Generally Accepted Auditing Standards, Financial Controls, Verification And Validation, Risk Analysis, Business Risk Management, Investigation, Risk Management, Probability & Statistics",4.8,418
Business,Marchés financiers,Yale University,Course,Beginner,1 - 3 Months,"Investment Banking, Financial Market, Financial Regulations, Risk Management, Business Risk Management, Governance, Financial Services, Portfolio Management, Capital Markets, Securities Trading, Investments, Banking, Behavioral Economics, Corporate Finance, Non-Profit Accounting, Insurance",4.7,3000
Business,Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,Mixed,1 - 3 Months,"Data-Driven Decision-Making, Strategic Sourcing, Operational Analysis, Operations Management, Business Operations, Capacity Planning, Operational Efficiency, Supply Chain, Competitive Analysis, Strategic Decision-Making, Business Strategy, Business Metrics, Supplier Relationship Management, Planning, Financial Analysis",4.7,1800
Business,ESG and Climate Change,University of Pennsylvania,Course,Mixed,1 - 4 Weeks,"Environmental Social And Corporate Governance (ESG), Waste Minimization, Corporate Sustainability, Business Ethics, Insurance, Environmental Resource Management, Environmental Policy, Product Lifecycle Management, Environment, Risk Management, Sustainability Reporting",4.8,8300
Business,Supply Chain Planning,Rutgers the State University of New Jersey,Course,Beginner,1 - 4 Weeks,"Demand Planning, Forecasting, Supply Chain Planning, Sales Management, Time Series Analysis and Forecasting, Supply Chain Management, Estimation, Trend Analysis, Decision Making",4.6,62
Business,Startup Entrepreneurship,Technion - Israel Institute of Technology,Specialization,Beginner,3 - 6 Months,"Ideation, Innovation, Business Planning, Brainstorming, Creative Problem-Solving, Creative Thinking, Value Propositions, Design Thinking, Creativity, Entrepreneurship, Team Building, Operations Management, Problem Solving, Visionary, Business Strategy, Strategic Thinking, Operational Analysis, Initiative and Leadership, Market Research, Market Analysis",4.3,184
Business,Excel Skills for Business: Intermediate II,Macquarie University,Course,Intermediate,1 - 3 Months,"Excel Formulas, Microsoft Excel, Excel Macros, Data Validation, Spreadsheet Software, Data Modeling, Financial Modeling, Workflow Management, Data Integrity, Automation, Data Security",4.7,2800
Business,Introduction to Microsoft Dynamics 365,Microsoft,Course,Beginner,1 - 3 Months,"Marketing Automation, Sales Management, Customer Engagement, Customer Relationship Management (CRM) Software, Customer Relationship Management, Sales Process, Microsoft 365, Resource Allocation, Microsoft Power Platform, Microsoft Teams, Lead Generation, Service Management, Power BI, Customer Service, Customer Insights, Scheduling",4.9,2500
Business,Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,Intermediate,1 - 3 Months,"Social Media Strategy, Social Media Marketing, Content Marketing, Social Media, Marketing Effectiveness, Campaign Management, Marketing Communications, Promotional Strategies, Return On Investment, Key Performance Indicators (KPIs), Performance Measurement, Marketing Strategy and Techniques, Stakeholder Engagement, Brand Awareness, Influencing, Customer Engagement, Marketing Analytics, Target Audience",4.7,767
Business,Renewable Energy and Green Building Entrepreneurship,Duke University,Course,Beginner,1 - 3 Months,"Innovation, Entrepreneurship, Team Building, Business Modeling, Environmental Issue, New Business Development, Business Strategy, Corporate Sustainability, Business Development, Business, Market Opportunities, Investments",4.7,264
Business,Google Project Management (PT),Google,Professional Certificate,Beginner,3 - 6 Months,"Cost Management, Quality Management, Backlogs, Project Closure, Project Planning, Sprint Retrospectives, Project Scoping, Team Leadership, Project Management Life Cycle, Agile Project Management, Communication Planning, Continuous Improvement Process, Process Improvement, Project Management Software, Project Management, Change Control, Project Controls, Agile Methodology, Requirements Analysis, Change Management",4.4,1900
Business,Strategic Planning and Execution,University of Virginia,Course,Mixed,1 - 4 Weeks,"Plan Execution, Organizational Strategy, Business Strategy, Data-Driven Decision-Making, Business Planning, Strategic Leadership, Strategic Decision-Making, Strategic Thinking, Governance, Analysis, Business Analysis, Competitive Analysis",4.8,2200
Business,ChatGPT for Beginners: Save time with Microsoft Excel,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Microsoft Excel, ChatGPT, Excel Formulas, Text Mining, Data Cleansing, Data Manipulation, Spreadsheet Software, Unstructured Data, Generative AI, Data Analysis, Natural Language Processing",4.7,2200
Business,Digital Transformation in Financial Services,Copenhagen Business School,Specialization,Beginner,3 - 6 Months,"FinTech, Technology Strategies, Payment Systems, Financial Services, Digital Transformation, International Finance, Mobile Banking, Banking, Innovation, Blockchain, Financial Regulations, Business Technologies, Business Transformation, Financial Market, Business Architecture, Competitive Analysis, Analysis, Financial Regulation, Business Strategy, Business Analysis",4.7,22
Business,Construction Scheduling,Columbia University,Course,Beginner,3 - 6 Months,"Project Schedules, Project Risk Management, Scheduling, Risk Management, Construction Management, Timelines, Lean Methodologies, Architecture and Construction, Milestones (Project Management), Project Management, Project Planning, Project Management Software, Resource Allocation, Dependency Analysis",4.3,356
Business,International Business I,University of New Mexico,Course,Mixed,1 - 3 Months,"Social Sciences, International Relations, Political Sciences, Economic Development, Global Marketing, Socioeconomics, Cultural Diversity, Economics, Business, Financial Market",4.6,1900
Business,Content Creation With Generative AI,Coursera Instructor Network,Course,Intermediate,1 - 4 Weeks,"Content Marketing, Marketing Materials, Copywriting, Content Creation, Marketing Communications, Social Media Content, Marketing, MarTech, ChatGPT, Marketing Strategies, Innovation, Content Strategy, Writing and Editing, Ethical Standards And Conduct",4.7,512
Business,Fundamentals of Equities,Interactive Brokers,Course,Beginner,1 - 4 Weeks,"Equities, Investments, Financial Statement Analysis, Financial Analysis, Investment Management, Balance Sheet, Financial Market, Capital Markets, Business Metrics, Risk Management, Risk Analysis, Portfolio Management, Income Statement, Business Economics, Cash Flows",4.7,95
Business,Essentials of Corporate Finance,The University of Melbourne,Specialization,Intermediate,3 - 6 Months,"Financial Analysis, Financial Statement Analysis, Financial Statements, Corporate Finance, Financial Accounting, Accounting, Financial Systems, Financial Modeling, Investments, Capital Markets, Market Liquidity, Financial Management, Balance Sheet, Derivatives, Financial Market, Income Statement, Business Valuation, International Finance, Mergers & Acquisitions, Capital Budgeting",4.7,152
Business,Management Fundamentals,University of Pennsylvania,Course,Beginner,1 - 4 Weeks,"People Management, Employee Performance Management, Decision Making, Organizational Change, Organizational Structure, Team Motivation, Diversity Equity and Inclusion Initiatives, Business Management, Compensation and Benefits, Job Analysis, Recruitment, Leadership, Change Management, Constructive Feedback",4.8,166
Business,Design Thinking: Insights to Inspiration,University of Virginia,Course,Beginner,1 - 3 Months,"Design Thinking, Innovation, User Research, Human Centered Design, Project Scoping, User Experience Design, Project Planning, Qualitative Research, Customer Insights, Empathy, Persona Development, Dealing With Ambiguity",4.7,4500
Business,How Software Ate Finance,Stanford University,Course,Mixed,1 - 3 Months,"FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management",4.7,46
Business,Foundations of Strategy,IE Business School,Course,Beginner,1 - 4 Weeks,"Competitive Analysis, Business Strategy, Economics, Market Dynamics, Business Economics, Strategic Thinking, Market Analysis, Organizational Strategy, Resource Management",4.8,3800
Business,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,Course,Mixed,1 - 4 Weeks,"Workforce Planning, Employee Onboarding, Recruitment, Recruitment Strategies, Full Cycle Recruitment, Talent Acquisition, Job Analysis, Human Resource Strategy, New Hire Orientations, Employee Engagement, Law, Regulation, and Compliance, Interviewing Skills, Decision Making, Diversity and Inclusion",4.6,2200
Business,Requirements Gathering in Business Analysis,Microsoft,Course,Beginner,1 - 4 Weeks,"User Story, Business Requirements, Requirements Analysis, Requirements Elicitation, Business Analysis, User Requirements Documents, Gap Analysis, Functional Specification, Business Modeling, Process Analysis, Needs Assessment",4.8,263
Business,Leading: Human Resource Management and Leadership,Macquarie University,Specialization,Intermediate,3 - 6 Months,"People Management, Diversity and Inclusion, Organizational Leadership, Leadership and Management, Human Resource Strategy, Organizational Strategy, Team Building, Team Management, Organizational Structure, Team Leadership, Business Leadership, Organizational Effectiveness, Leadership Development, Culture Transformation, Brand Strategy, Workforce Planning, Thought Leadership, Brand Management, Branding, Employee Engagement",4.6,254
Business,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",Specialization,Beginner,3 - 6 Months,"Customer Analysis, Commercialization, Product Planning, Business Modeling, Strategic Decision-Making, Innovation, Entrepreneurship, Entrepreneurial Finance, Market Opportunities, Business Planning, New Product Development, Sales Pipelines, Sales Strategy, Ideation, Customer Insights, Product Development, Team Building, Sales Presentations, Capital Markets, Finance",4.4,1300
Business,Retail Marketing Strategy,University of Pennsylvania,Course,Beginner,1 - 4 Weeks,"Brand Strategy, Customer Insights, Brand Loyalty, Marketing Strategy and Techniques, Customer Engagement, Global Marketing, Market Trend, Consumer Behaviour, Competitive Analysis, Business Technologies, Innovation, E-Commerce",4.6,574
Business,Esports,"University of California, Irvine",Specialization,Beginner,1 - 3 Months,"Peer Review, Media Strategy, Professional Development, Contract Negotiation, Media and Communications, Branding, Organizational Structure, Organizational Strategy, Business Planning, Recruitment, Fundraising, Competitive Analysis, Brand Strategy, Strategic Partnership, Contract Management, Live Streaming, Professional Networking, Workforce Planning, Event Planning, Entrepreneurship",4.8,990
Business,Strategic Business Analytics,ESSEC Business School,Specialization,Advanced,3 - 6 Months,"Marketing Analytics, Business Analytics, Forecasting, Peer Review, Statistical Methods, Data Presentation, Predictive Analytics, R Programming, Customer Analysis, Information Technology, Digital Transformation, Advanced Analytics, Statistical Analysis, Communication, Market Research, Complex Problem Solving, Analytics, Business Analysis, Data Analysis, Value Propositions",4.5,158
Business,"Lending, Crowdfunding, and Modern Investing",University of Pennsylvania,Course,Beginner,1 - 4 Weeks,"FinTech, Portfolio Management, Consumer Lending, Return On Investment, Lending and Underwriting, Financial Services, Loans, Risk Analysis, Investment Management, Investments, Financial Market, Asset Management, Risk Management, Credit Risk, Wealth Management",4.8,2200
Business,Finance for Managers,IESE Business School,Course,Mixed,1 - 4 Weeks,"Financial Statement Analysis, Operational Analysis, Financial Forecasting, Balance Sheet, Financial Analysis, Income Statement, Forecasting, Operational Performance Management, Financial Modeling, Working Capital, Financial Management, Business Metrics, Cash Flow Forecasting, Budget Management, Return On Investment, Accounts Payable and Receivable, Analysis, Risk Analysis, Accounts Receivable, Inventory Management System",4.7,834
Business,Investment Banking: Financial Analysis and Valuation,University of Illinois Urbana-Champaign,Course,Intermediate,1 - 3 Months,"Financial Statement Analysis, Investment Banking, Financial Forecasting, Business Valuation, Financial Analysis, Financial Modeling, Mergers & Acquisitions, Income Statement, Balance Sheet, Corporate Finance, Cash Flows, Benchmarking",4.7,1100
Business,Storytelling and influencing: Communicate with impact,Macquarie University,Course,Mixed,1 - 3 Months,"Overcoming Objections, Influencing, Persuasive Communication, Storytelling, Rapport Building, Meeting Facilitation, Leadership, Presentations, Communication, Stakeholder Communications, Verbal Communication Skills, Public Speaking, Target Audience, Non-Verbal Communication, Decision Making",4.8,1400
Business,Brand Identity and Strategy,IE Business School,Course,Intermediate,1 - 3 Months,"Brand Strategy, Branding, Brand Awareness, Logo Design, Brand Management, Target Market, Consumer Behaviour, Value Propositions, Marketing, Customer Insights, Marketing Psychology, Marketing Strategies, Competitive Analysis, Color Theory",4.7,209
Business,Leadership Development for Engineers,Rice University,Specialization,Beginner,3 - 6 Months,"Conflict Management, Professional Networking, Team Motivation, Creative Problem-Solving, Team Management, Prioritization, Stress Management, Meeting Facilitation, Relationship Management, Goal Setting, Time Management, Relationship Building, Leadership Development, Team Leadership, Self-Awareness, Communication, Professional Development, Mentorship, Active Listening, Interpersonal Communications",4.8,2500
Business,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,Course,Mixed,1 - 4 Weeks,"Investment Management, Portfolio Management, Investments, Asset Management, Risk Analysis, Financial Modeling, Risk Management, Financial Analysis, NumPy, Python Programming, Simulations, Pandas (Python Package), Correlation Analysis, Matplotlib",4.9,27
Business,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois Urbana-Champaign,Course,Advanced,1 - 3 Months,"Mergers & Acquisitions, Financial Reporting, Intercompany Accounting, Financial Accounting, Technical Accounting, Consolidation, International Financial Reporting Standards, Generally Accepted Accounting Principles (GAAP), Corporate Accounting, Financial Statements, Business",4.6,156
Business,Corporate Finance Essentials,IESE Business School,Course,Mixed,1 - 3 Months,"Corporate Finance, Finance, Capital Budgeting, Financial Modeling, Financial Analysis, Financial Market, Return On Investment, Investments, Business Valuation, Portfolio Management, Risk Analysis",4.8,2400
Business,Data Analytics in Sports Law and Management,The State University of New York,Specialization,Beginner,3 - 6 Months,"Facility Management, Event Management, Contract Management, Facility Operations, Calendar Management, Performance Analysis, Event Planning, Business Analytics, Vendor Contracts, Analytics, Data-Driven Decision-Making, Data Analysis, Scheduling, Event Marketing, Performance Measurement, Relationship Management, Staff Management, Customer Engagement, Law, Regulation, and Compliance, Regulation and Legal Compliance",4.8,155
Business,Entreprendre dans les Industries Culturelles à l'ère du numérique,Sciences Po,Course,Beginner,1 - 3 Months,"Entrepreneurship, Promotional Strategies, Business Modeling, Business Leadership, Content Creation, Innovation, Business Strategy, Digital Transformation, Market Opportunities, Entrepreneurial Finance, Business Economics, Marketing Strategies, Consumer Behaviour",4.8,47
Business,Firm Level Economics: Consumer and Producer Behavior,University of Illinois Urbana-Champaign,Course,Intermediate,1 - 3 Months,"Supply And Demand, Economics, Business Economics, Market Dynamics, Tax, Resource Allocation, Consumer Behaviour, Cost Management, Market Analysis, Production Management, Decision Making",4.6,550
Business,Gestión de la comunicación interna en las organizaciones,Universitat Autònoma de Barcelona,Course,Beginner,1 - 3 Months,"Internal Communications, Crisis Management, Communication Planning, Corporate Communications, Telecommuting, Target Audience, Communication Strategies, Organizational Change, Ethical Standards And Conduct, Virtual Teams, Communication, Culture, Branding, Employee Engagement",4.7,188
Business,A Comprehensive Excel Masterclass,Illinois Tech,Course,Intermediate,1 - 4 Weeks,"Capital Budgeting, Data Visualization, Microsoft Excel, Dashboard, Business Intelligence, Interactive Data Visualization, Excel Formulas, Productivity Software, Financial Analysis, Data Analysis Expressions (DAX), Pivot Tables And Charts, Key Performance Indicators (KPIs), Google Sheets, Business Analytics, Financial Modeling, Microsoft 365, Data-Driven Decision-Making, Loans, Cash Flows",4.7,2200
Business,"Application of AI, InsurTech, and Real Estate Technology",University of Pennsylvania,Course,Mixed,1 - 4 Weeks,"FinTech, Financial Services, Emerging Technologies, Market Analysis, Real Estate, Insurance, Artificial Intelligence, Investments, Innovation, Market Trend, Machine Learning, Commercial Real Estate",4.6,486
Business,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,Course,Intermediate,1 - 3 Months,"Environmental Social And Corporate Governance (ESG), Mergers & Acquisitions, Capital Markets, Project Finance, Investment Banking, Securities (Finance), Finance, Corporate Finance, Banking, Asset Management, Corporate Sustainability, Derivatives",4.8,433
Business,Spreadsheets for Beginners using Google Sheets,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Spreadsheet Software, Data Entry",5.0,6
Business,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,Beginner,1 - 3 Months,"Digital Transformation, Strategic Thinking, Marketing Channel, E-Commerce, Web Analytics and SEO, Content Marketing, Campaign Management, Digital Marketing, Search Engine Marketing, Experience Design, Marketing Strategies, Integrated Marketing Communications, Leadership, Social Media Marketing, Digital Content, Leadership and Management, Marketing, Marketing Strategy and Techniques, Marketing Effectiveness, Business Leadership",4.7,2700
Business,Conflict Transformation,Emory University,Course,Beginner,1 - 3 Months,"Conflict Management, Empathy, Emotional Intelligence, Problem Solving, Collaboration, Self-Awareness, Active Listening, Adaptability, Communication",4.5,422
Business,Microsoft Copilot for Sales,Microsoft,Specialization,Beginner,1 - 3 Months,"Forecasting, Sales Strategy, Customer Analysis, Revenue Forecasting, Sales Enablement, Customer Relationship Management (CRM) Software, Data Cleansing, Customer Insights, Cross Selling, Customer Data Management, Sales Pipelines, Upselling, Sales Prospecting, Sales, Data Ethics, Data Quality, Sales Process, Sales Management, Microsoft Teams, Personalized Service",4.7,1500
Business,Managing Employee Performance,University of Minnesota,Course,Mixed,1 - 4 Weeks,"Performance Management, Performance Appraisal, Performance Review, Employee Performance Management, Constructive Feedback, People Management, Staff Management, Expectation Management, Organizational Effectiveness, Employee Engagement, Goal Setting, Culture Transformation, Organizational Leadership",4.8,4800
Business,Groundwork for Success in Sales Development,Salesforce,Course,Beginner,1 - 4 Weeks,"Time Management, Growth Mindedness, Sales Development, Professional Development, Goal Setting, Prioritization, Professionalism, Collaboration, Open Mindset, Personal Development, Teamwork, Sales, Performance Metric, Performance Measurement, Performance Management, Constructive Feedback, Self-Awareness, Stress Management, Accountability, Self-Motivation",4.8,5800
Business,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,Specialization,Beginner,3 - 6 Months,"Business Planning, Strategic Marketing, ISO 9000 Series, Marketing, Quality Management, Organizational Strategy, Business Strategies, Governance, Financial Analysis, Marketing Planning, Corporate Strategy, Financial Statements, Quality Management Systems, Operations Management, Organizational Structure, Working Capital, Market Analysis, Market Research, Financial Controls, Production Management",4.6,496
Business,Business Writing,University of Colorado Boulder,Course,Beginner,1 - 4 Weeks,"Business Writing, Business Communication, Writing, Organizational Skills, Concision, Proofreading, Grammar, Communication, Editing, Persuasive Communication, Presentations",4.7,1600
Business,Understanding Financial Markets,University of Geneva,Course,Beginner,1 - 4 Weeks,"Financial Market, Capital Markets, Market Liquidity, Portfolio Management, Investments, Market Dynamics, Derivatives, Finance, Equities, Financial Policy, Economics, Real Estate, Banking, Risk Management",4.8,25
Business,Wharton Business and Financial Modeling Capstone,University of Pennsylvania,Course,Mixed,1 - 3 Months,"Portfolio Management, Financial Modeling, Presentations, Microsoft PowerPoint, Investment Management, Business Modeling, Data Modeling, Quantitative Research, Business Analytics, Risk Modeling, Microsoft Excel, Financial Analysis, Regression Analysis",4.8,561
Business,Optimizing a Website for Google Search,"University of California, Davis",Course,Intermediate,1 - 4 Weeks,"Search Engine Optimization, Web Analytics and SEO, Content Strategy, Competitive Analysis, Forecasting, Digital Marketing, Expectation Management, Relationship Management, Content Marketing, Marketing Strategy and Techniques, A/B Testing, Key Performance Indicators (KPIs), Performance Metric",4.6,322
Business,Getting Started with U.S. Payroll Fundamentals,"Automatic Data Processing, Inc. (ADP)",Course,Beginner,1 - 4 Weeks,"Payroll Processing, Payroll, Payroll Administration, Payroll Tax, Labor Law, Compensation and Benefits, Compensation Management, Benefits Administration, Employee Onboarding, Compliance Management, Record Keeping",4.6,2500
Business,Gender Analytics: Gender Equity through Inclusive Design,University of Toronto,Specialization,Beginner,3 - 6 Months,"Human Centered Design, User Experience Design, Organizational Change, User Research, Design Thinking, Change Management, Design Research, Data Ethics, Data Collection, Quantitative Research, Influencing, Qualitative Research, Organizational Leadership, Business Leadership, Storytelling, Leadership, Diversity Awareness, Diversity and Inclusion, Gap Analysis, Innovation",4.8,5800
Business,Operational Risk Management: Frameworks & Strategies,New York Institute of Finance,Course,Beginner,1 - 3 Months,"Operational Risk, Risk Management Framework, Risk Management, Business Risk Management, Risk Modeling, Enterprise Risk Management (ERM), Risk Appetite, Risk Control, Governance, Risk Analysis, Key Performance Indicators (KPIs), Business Process, Regulatory Requirements, Analysis",4.6,227
Business,Six Sigma Tools for Define and Measure,Kennesaw State University,Course,Beginner,1 - 4 Weeks,"Data Collection, Lean Six Sigma, Six Sigma Methodology, Quality Improvement, Process Improvement, Business Process, Project Management, Project Planning, Process Mapping, Descriptive Statistics, Statistics, Stakeholder Management, Customer Insights, Data Integrity",4.6,371
Business,Inspiring and Motivating Individuals,University of Michigan,Course,Beginner,1 - 4 Weeks,"Team Motivation, Employee Engagement, Team Management, Organizational Leadership, Goal Setting, People Development, Visionary, Influencing, Industrial and Organizational Psychology, Leadership, Cultural Diversity, Constructive Feedback, Performance Appraisal, Compensation Strategy, Communication",4.4,224
Business,Cost Accounting,Technical University of Munich (TUM),Specialization,Beginner,1 - 3 Months,"Cost Accounting, Management Accounting, Income Statement, Operating Cost, Cost Estimation, Cost Management, Inventory Accounting, Profit and Loss (P&L) Management, Gross Profit, Strategic Decision-Making, Accounting, Resource Allocation, Product Assortment, Depreciation, Financial Accounting, Production Process, Financial Statements, Price Negotiation, Capacity Management, Decision Making",4.6,751
Business,Market Research,Queen Mary University of London,Specialization,Beginner,3 - 6 Months,"Qualitative Research, Proposal Development, Market Research, Research Reports, Data Collection, Research Design, Research Methodologies, Data Analysis, Statistical Hypothesis Testing, Survey Creation, Statistical Analysis, Correlation Analysis, Marketing Management, Marketing, Report Writing, Quantitative Research, Research, Focus Group, Regression Analysis, Business Research",4.7,17000
Business,Mastering Final Cut Pro,LearnQuest,Course,Beginner,1 - 3 Months,"Post-Production, Media Production, Data Import/Export, Editing, Mac OS, File Management, Color Theory, Timelines, Multimedia, Virtual Reality",4.7,300
Business,"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising",University of Colorado Boulder,Specialization,Beginner,3 - 6 Months,"Advertising, Advertising Campaigns, Social Media, Search Engine Marketing, Social Media Marketing, Digital Marketing, Social Media Strategy, Media Buying, Data Ethics, Campaign Management, Social Media Content, Web Analytics and SEO, Facebook, Marketing, Marketing Effectiveness, Media Planning, Web Analytics, Google Analytics, Marketing Analytics, Business Metrics",4.8,1300
Business,Marketing in a Digital World,University of Illinois Urbana-Champaign,Course,Beginner,1 - 4 Weeks,"Digital Marketing, Marketing, Marketing Strategies, MarTech, Marketing Communications, E-Commerce, Price Negotiation, Consumer Behaviour, Product Development, Product Promotion, Innovation, Customer Engagement",4.8,1100
Business,Introduction to Restaurant Revenue Management,Dubai College of Tourism,Course,Beginner,1 - 4 Weeks,"Revenue Management, Restaurant Operation, Restaurant Management, Forecasting, Key Performance Indicators (KPIs), Hospitality Management, Customer Demand Planning, Trend Analysis, Performance Analysis, Team Management, Price Negotiation, Performance Measurement, Data-Driven Decision-Making, Business Strategy",4.7,257
Business,Statistics Foundations,Meta,Course,Beginner,1 - 3 Months,"Bayesian Statistics, Descriptive Statistics, Statistical Hypothesis Testing, Statistical Inference, Sampling (Statistics), Data Modeling, Statistics, Probability & Statistics, Statistical Analysis, Statistical Methods, Statistical Modeling, Marketing Analytics, Tableau Software, Data Analysis, Spreadsheet Software, Quantitative Research, Analytics, Descriptive Analytics, Time Series Analysis and Forecasting, Regression Analysis",4.8,1400
Business,Understanding Financial Statements: Company Position,University of Illinois Urbana-Champaign,Course,Beginner,1 - 3 Months,"Balance Sheet, Financial Statements, Financial Statement Analysis, Financial Accounting, Accounting, Equities, Financial Reporting, Generally Accepted Accounting Principles (GAAP), Cash Flows, Asset Management",4.7,3400
Business,Introduction to Management Consulting,Emory University,Course,Beginner,1 - 3 Months,"Consulting, Management Consulting, Business Consulting, Client Services, Business Strategy, Business Strategies, Decision Making, Communication, Change Management, Complex Problem Solving",4.7,568
Business,Wharton Entrepreneurship Capstone,University of Pennsylvania,Course,Mixed,1 - 3 Months,"Business Valuation, Peer Review, Financial Analysis, Presentations, Entrepreneurship, Business Planning, Competitive Analysis, Constructive Feedback, Business Research, Business Strategy",4.7,339
Business,Strategising: Management for Global Competitive Advantage,Macquarie University,Specialization,Beginner,3 - 6 Months,"Business Strategy, Design Thinking, Supply Chain, Strategic Thinking, Business Strategies, Supply Chain Planning, Business Ethics, Supply Chain Management, Corporate Sustainability, Customer Analysis, Emerging Technologies, Organizational Strategy, Strategic Sourcing, Environmental Social And Corporate Governance (ESG), Governance, Transportation, Supply Chain, and Logistics, Innovation, Business Modeling, Business Transformation, Business Management",4.4,209
Business,Engineering Project Management: Initiating and Planning,Rice University,Course,Beginner,1 - 3 Months,"Communication Planning, Stakeholder Management, Organizational Structure, Project Documentation, Project Management, Project Management Life Cycle, Project Scoping, Project Planning, Requirements Management, Financial Analysis, Business Analysis, Peer Review",4.8,2600
Business,Ethical Leadership Through Giving Voice to Values,University of Virginia,Course,Beginner,1 - 4 Weeks,"Courage, Leadership Development, Professional Development, Business Ethics, Organizational Leadership, Initiative and Leadership, Personal Integrity, Employee Coaching, Overcoming Objections, Ethical Standards And Conduct, Empowerment, Self-Awareness, Conflict Management, Assertiveness, Personal Development, Decision Making, Advocacy, Program Implementation, Communication",4.8,1400
Business,GenAI for Executives & Business Leaders: An Introduction,IBM,Course,Beginner,1 - 4 Weeks,"Generative AI, Data Ethics, Artificial Intelligence, Business Transformation, Business Leadership, Business Ethics, Governance, Business Strategy, Data Governance, Customer Service",4.5,57
